DATE/TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,
35:30.3,6.7452,6.7489,0.00142,-0.00242,4.9971,12.8072,12.8046,  
35:31.6,6.7555,6.7588,-0.00573,-0.00308,5.0053,12.8089,12.8066,  
35:32.9,6.7669,6.7722,0.00631,-0.00156,5.0082,12.8118,12.8085,  
35:34.3,6.7756,6.7785,-0.0005,-0.004,5.015,12.8135,12.8102,  
35:35.6,6.7901,6.7899,-0.01024,-0.00899,5.0287,12.8152,12.8122,  
35:36.9,6.7968,6.806,-0.00143,-0.00277,5.028,12.817,12.8141,  
35:38.2,6.8092,6.8131,-0.00329,-0.00285,5.0355,12.8193,12.8161,  
35:39.5,6.8251,6.8256,-0.00607,-0.00969,5.0377,12.821,12.8181,  
35:40.8,6.8344,6.836,-0.00372,-0.0078,5.0409,12.8228,12.8198,  
35:42.1,6.8436,6.8448,-0.00241,-0.00521,5.0445,12.825,12.822,  
35:43.4,6.8524,6.8588,-0.00566,-0.00938,5.0581,12.8274,12.8237,  
35:44.7,6.8637,6.8656,-0.0048,-0.00356,5.0581,12.829,12.8257,  
35:46.0,6.8735,6.8764,-0.00644,-0.00544,5.0631,12.8302,12.8276,  
35:47.3,6.8817,6.8847,-0.00394,-0.00796,5.0707,12.8325,12.8296,  
35:48.6,6.8894,6.8925,-0.00786,-0.00812,5.0714,12.8348,12.832,  
35:49.9,6.8966,6.8991,-0.0053,-0.00741,5.0807,12.8366,12.8336,  
35:51.2,6.9044,6.907,-0.00215,-0.00655,5.0775,12.8383,12.8356,  
35:52.5,6.9094,6.9122,-0.00215,-0.00332,5.0832,12.8412,12.8379,  
35:53.8,6.9152,6.9179,-0.00465,-0.00521,5.0911,12.8446,12.8405,  
35:55.1,6.9198,6.9215,-0.00723,-0.00843,5.0948,12.8451,12.8421,  
35:56.4,6.9265,6.9287,-0.00408,-0.00395,5.1059,12.8474,12.8444,  
35:57.7,6.9326,6.9349,-0.00895,-0.01009,5.1112,12.8498,12.8468,  
35:59.0,6.9393,6.9422,-0.00437,0.001,5.1077,12.8515,12.8481,  
36:00.3,6.9455,6.9479,-0.00458,-0.00851,5.1173,12.8532,12.8507,  
36:01.6,6.9517,6.954,-0.00208,-0.00403,5.1216,12.8555,12.8527,  
36:02.9,6.9583,6.9608,-0.00107,-0.00206,5.1259,12.8573,12.8547,  
36:04.3,6.964,6.967,-0.00301,-0.00725,5.1327,12.8601,12.8567,  
36:05.6,6.9691,6.9711,-0.0058,-0.00906,5.1407,12.8618,12.8586,  
36:06.9,6.9763,6.9789,-0.00752,-0.01119,5.1435,12.8635,12.8606,  
36:08.2,6.9835,6.9861,-0.00379,-0.00623,5.146,12.8658,12.8629,  
36:09.5,6.9913,6.9934,-0.00432,-0.00678,5.1531,12.8681,12.8652,  
36:10.8,6.9979,7.0006,-0.00709,-0.0071,5.1599,12.8705,12.8672,  
36:12.1,7.0046,7.0079,-0.00372,-0.0056,5.1625,12.8722,12.8695,  
36:13.4,7.0143,7.0177,-0.00523,-0.00489,5.1728,12.8739,12.8715,  
36:14.7,7.0215,7.0239,-0.00451,-0.01072,5.1768,12.8774,12.8741,  
36:16.0,7.0282,7.0316,-0.00924,-0.00867,5.1829,12.8791,12.8761,  
36:17.3,7.0344,7.0368,-0.00718,-0.00875,5.1901,12.8808,12.8781,  
36:18.6,7.0395,7.0425,-0.00709,-0.0071,5.1915,12.8831,12.8804,  
36:19.9,7.0457,7.0466,-0.00981,-0.01272,5.1925,12.8854,12.8823,  
36:21.2,7.0493,7.0524,-0.00245,-0.00371,5.2037,12.8877,12.8846,  
36:22.5,7.0559,7.059,-0.00408,-0.00217,5.2026,12.8894,12.887,  
36:23.8,7.0636,7.0663,-0.00372,-0.01004,5.2144,12.8929,12.8899,  
36:25.1,7.0683,7.0705,-0.00315,-0.00576,5.2151,12.894,12.8912,  
36:26.4,7.075,7.0776,-0.00494,-0.01083,5.2237,12.8969,12.8942,  
36:27.7,7.0826,7.0849,-0.00752,-0.01004,5.2298,12.8992,12.8958,  
36:29.0,7.0894,7.0916,-0.00761,-0.01442,5.2309,12.9009,12.8981,  
36:30.3,7.095,7.0973,-0.00824,-0.01308,5.238,12.9032,12.9004,  
36:31.6,7.1001,7.1024,-0.00566,-0.01051,5.2395,12.9055,12.9021,  
36:32.9,7.1048,7.106,-0.00403,-0.00686,5.2456,12.9072,12.9044,  
36:34.3,7.1093,7.1133,-0.00487,-0.0113,5.2541,12.9089,12.9063,  
36:35.6,7.117,7.119,-0.00394,-0.00434,5.2541,12.9113,12.9087,  
36:36.9,7.1201,7.1211,-0.01003,-0.00938,5.2612,12.9135,12.911,  
36:38.2,7.1216,7.1241,-0.01024,-0.01264,5.2627,12.9153,12.9126,  
36:39.5,7.1325,7.1351,-0.00229,-0.00697,5.272,12.9182,12.9149,  
36:40.8,7.1437,7.1479,-0.00465,-0.00965,5.2799,12.9199,12.9169,  
36:42.1,7.156,7.1602,-0.00811,-0.01024,5.282,12.9222,12.9192,  
36:43.4,7.1688,7.1722,-0.01205,-0.01201,5.2902,12.9245,12.9212,  
36:44.7,7.1821,7.186,-0.01182,-0.01032,5.3024,12.9262,12.9231,  
36:46.0,7.2006,7.2067,-0.00917,-0.00973,5.3053,12.9285,12.9251,  
36:47.3,7.2186,7.2232,-0.00453,-0.0071,5.3138,12.9302,12.9271,  
36:48.6,7.2344,7.2381,-0.00895,-0.00847,5.3238,12.9325,12.9291,  
36:49.9,7.2457,7.2491,-0.0073,-0.00752,5.3263,12.9349,12.932,  
36:51.2,7.2565,7.2609,-0.00659,-0.00823,5.3388,12.9365,12.9347,  
36:52.5,7.2667,7.2711,-0.0084,-0.01339,5.3453,12.9411,12.9386,  
36:53.8,7.2779,7.282,-0.00587,-0.00705,5.3531,12.944,12.9409,  
36:55.1,7.2918,7.2954,-0.01139,-0.01335,5.3728,12.9469,12.9439,  
36:56.4,7.3062,7.3104,-0.00609,-0.00694,5.3753,12.9503,12.9475,  
